,index,0
1432,loredano,174
1433,viaja,2
1434,desejo,29
1435,digo,9
1436,contrário,18
1437,confessareis,1
1438,poupar,1
1439,quereis,30
1440,dizer,50
1441,perguntou,68
1442,movimento,56
1443,enfado,3
1444,cavalheiro,120
1445,respondeu,97
1446,tom,31
1447,mofa,2
1448,medindo,2
1449,hoje,21
1450,seis,16
1451,corou,9
1452,vejo,7
1453,vos,134
1454,reparo,4
1455,hora,69
1456,havíamos,1
1457,melhor,27
1458,noite,96
1459,sábado,2
1460,replicou,27
1461,rubor,8
1462,assomou,5
1463,faces,27
1464,disfarçar,4
1465,enleio,7
1466,recobrando,2
1467,desembaraço,1
1468,soltou,27
1469,risada,3
1470,ora,23
1471,deus,68
1472,estais,16
1473,falarme,1
1474,beiços,2
1475,meias,1
1476,entendo,9
1477,escritura,1
1478,há,105
1479,pior,2
1480,surdo,6
1481,oh,28
1482,anexim,1
1483,aposto,2
1484,aprendeste,1
1485,sebastião,7
1486,velha,4
1487,beata,1
1488,licenciado,1
1489,cânones,1
1490,volo,6
1491,ensinou,1
1492,gracejando,3
1493,nem,92
1494,fanqueiro,2
1495,rua,1
1496,mercadores,1
1497,sinal,31
1498,custosos,1
1499,brocados,1
1500,arrecadas,2
1501,pérolas,9
1502,próprias,2
1503,mimo,4
1504,gentil,9
1505,enrubesceu,1
1506,terceira,6
1507,decididamente,4
1508,sarcástico,1
1509,mordaz,1
1510,ligar,3
1511,perguntas,5
1512,alusão,3
1513,incomodava,1
1514,quis,25
1515,cortar,6
1516,conversação,1
1517,ponto,22
1518,companheiro,33
1519,prosseguiu,3
1520,amabilidade,2
1521,entrastes,1
1522,acaso,7
1523,loja,1
1524,falei,4
1525,lembro,4
1526,crer,3
1527,tive,6
1528,arranjar,3
1529,nossos,17
1530,negócios,1
1531,restou,2
1532,galantarias,1
1533,damas,2
1534,fidalgas,1
1535,frieza,1
1536,verdade,37
1537,acudiu,15
1538,ingenuidade,3
1539,simulada,1
1540,faz,14
1541,lembrar,2
1542,demoramos,1
1543,dias,48
1544,haverme,1
1545,rapidez,14
1546,creio,9
1547,continuou,46
1548,fitando,7
1549,devo,9
1550,ações,7
1551,àqueles,6
1552,dei,4
1553,pedilas,1
1554,per,3
1555,bacco,1
1556,tomais,2
1557,coisas,25
1558,revés,1
1559,ninguém,28
1560,pergunta,9
1561,motivo,12
1562,fazeis,4
1563,praz,2
1564,achareis,2
1565,justo,7
1566,pense,2
1567,maneira,17
1568,pensai,2
1569,quiserdes,4
1570,levantando,3
1571,ombros,17
1572,passo,30
1573,conversa,18
1574,interrompeuse,1
1575,adiantados,1
1576,caminhavam,3
1577,silenciosos,1
1578,par,7
1579,enfiava,2
1580,caminho,31
1581,medir,2
1582,tinham,77
1583,percorrer,2
1584,pensativo,11
1585,preocupado,4
1586,nestas,3
1587,lançava,9
1588,furto,3
1589,cheio,17
1590,malícia,2
1591,continuava,16
1592,assobiar,1
1593,entredentes,2
1594,cançoneta,1
1595,condottiere,1
1596,apresentava,14
1597,tipo,5
1598,rosto,86
1599,moreno,7
1600,coberto,7
1601,longa,23
1602,barba,4
1603,negra,8
1604,desdenhoso,2
1605,brilhar,7
1606,alvura,8
1607,dentes,23
1608,vivos,3
1609,fronte,28
1610,chapéu,13
1611,desabado,1
1612,caía,4
1613,estatura,7
1614,constituição,1
1615,forte,47
1616,ágil,7
1617,musculosa,1
1618,traços,10
1619,aventureiro,60
1620,cavalgata,8
1621,deixado,14
1622,oferecia,7
1623,tomara,10
1624,estreita,6
1625,picada,3
1626,aberta,11
1627,mata,22
1628,crepúsculo,4
1629,reinava,6
1630,profundas,4
1631,sombrias,1
1632,abóbadas,3
1633,luz,64
1634,coando,1
1635,espessa,10
1636,folhagem,23
1637,decompunha,1
1638,réstia,3
1639,penetrava,4
1640,templo,2
1641,criação,5
1642,colunas,3
1643,troncos,5
1644,seculares,5
1645,acaris,1
1646,araribás,1
1647,rumores,4
1648,vagos,3
1649,indecisos,2
1650,amortecidos,2
1651,dormia,15
